Species,Family,Order,Class,Common name,Origin
Agelenopsis sp.,Agelenidae,Spider,Arachnida,American grass spider,Native
Anthus rubescens,Motacillidae,Passeriformes,Aves,American pipit,Native
Buteo jamaicensis,Accipitridae,Accipitriformes,Aves,Red-tailed hawk,Native
Calypte anna,Trochilidae,Apodiformes,Aves,Anna's hummingbird,Native
Charadrius vociferus,Charadriidae,Charadriiformes,Aves,Killdeer,Native
Colaptes auratus,Picidae,Piciformes,Aves,Northern flicker,Native
Columba livia,Columbidae,Columbiformes,Aves,Street pigeon,Nonnative
Corvus corax,Corvidae,Passeriformes,Aves,Common raven,Native
Euphagus cyanocephalus,Icteridae,Passeriformes,Aves,Brewer's blackbird,Native
Geothlypis trichas,Parulidae,Passeriformes,Aves,Common yellowthroat,Native
Haemorhous mexicanus,Frigillidae,Passeriformes,Aves,House finch,Native
Junco hyemalis,Passerellidae,Passeriformes,Aves,Dark-eyed junco,Native
Larus californicus,Laridae,Charadriiformes,Aves,California gull,Native
Lonchura punctulata,Estrildidae,Passeriformes,Aves,Scaly-breasted munia,Nonnative
Melospiza melodia,Passerellidae,Passeriformes,Aves,Song sparrow,Native
Melozone crissalis,Passerellidae,Passeriformes,Aves,California towhee,Native
Mimus polyglottos,Mimidae,Passeriformes,Aves,Northern mockingbird,Native
Passer domesticus,Passeridae,Passeriformes,Aves,House sparrow,Nonnative
Sayornis nigricans,Tyrannidae,Passeriformes,Aves,Black phoebe,Native
Selasphorus rufus,Trochilidae,Apodiformes,Aves,Rufous hummingbird,Native
Setophaga coronata,Parulidae,Passeriformes,Aves,Yellow-rumped warbler,Native
Setophaga petechia,Parulidae,Passeriformes,Aves,American yellow warbler,Native
Sitta canadensis,Sittidae,Passeriformes,Aves,Red-breasted nuthatch,Native
Sitta carolinensis,Sittidae,Passeriformes,Aves,White-breasted nuthatch,Native
Sturnus vulgaris,Sturnidae,Passeriformes,Aves,European starling,Nonnative
Zenaida macroura,Columbidae,Columbiformes,Aves,Mourning dove,Native
Zonotrichia leucophrys,Passerellidae,Passeriformes,Aves,White-crowned sparrow,Native
Cotinis mutabilis,Scarabaeidae,Coleoptera,Insecta,Figeater beetle,Native
Danaus plexippus,Nymphalidae,Lepidoptera,Insecta,Monarch butterfly ,Native
Canis latrans,Canidae,Carnivora,Mammalia,Coyote,Native
Didelphis virginiana,Didelphidae,Didelphimorphia,Mammalia,American opossum,Nonnative
Otospermophilus beecheyi,Sciuridae,Rodentia,Mammalia,California ground squirrel,Native
Peromyscus californicus,Cricetidae,Rodentia,Mammalia,California deermouse,Native
Procyon lotor,Procyonidae,Carnivora,Mammalia,Raccoon,Native
Rattus norvegicus,Muridae,Rodentia,Mammalia,Brown rat,Nonnative
Sciurus griseus, Sciuridae,Rodentia,Mammalia,Western gray squirrel,Native
Sylvilagus audubonii,Leporidae,Lagomorpha,Mammalia,Desert cottontail,Native
Elgaria multicarinata,Anguidae,Squamata,Reptilia,Southern alligator lizard,Native
Sceloporus occidentalis,Phrynosomatidae,Squamata,Reptilia,Western fence lizard,Native
Thamnophis sirtalis,Colubridae,Squamata,Reptilia,Common garter snake,Native